GitHub address,PR State
https://github.com/konosp/dbt-airflow-docker-compose/pull/6,merged
https://github.com/marcelovicentegc/django-react-typescript/pull/38,closed
https://github.com/iam4x/bobarr/pull/249,closed
https://github.com/LeonKou/NetPro/pull/39,closed
https://github.com/Shpota/skmz/pull/21,closed
https://github.com/katanaml/katana-skipper/pull/9,closed
https://github.com/antoniosarosi/home-cloud/pull/49,closed
https://github.com/ristekoss/susunjadwal-backend/pull/22,closed
https://github.com/saasitive/django-react-boilerplate/pull/22,closed
https://github.com/IAmStoxe/wirehole/pull/83,merged
https://github.com/davidefiocco/streamlit-fastapi-model-serving/pull/28,open
https://github.com/immauss/openvas/pull/138,closed
https://github.com/ZhongFuCheng3y/austin/pull/14,closed
https://github.com/ucan-lab/docker-laravel/pull/206,closed
https://github.com/Einsteinish/Docker-Compose-Prometheus-and-Grafana/pull/24,closed
https://github.com/vicalloy/outline-docker-compose/pull/27,closed
https://github.com/plausible/hosting/pull/51,closed
https://github.com/ipenywis/react-nestjs-full-web-app/pull/6,merged
https://github.com/nickjj/docker-django-example/pull/22,closed
https://github.com/sfx101/deck/pull/74,closed
https://github.com/rosehgal/TrashEmail/pull/112,merged
https://github.com/thangchung/practical-dapr/pull/34,closed
https://github.com/cresset-template/cresset/pull/33,closed
https://github.com/swarmlet/swarmlet/pull/153,closed
https://github.com/kassambara/wordpress-docker-compose/pull/12,closed
https://github.com/mkosir/typeorm-express-typescript/pull/252,closed
https://github.com/exadel-inc/CompreFace/pull/860,closed
https://github.com/saleor/saleor-platform/pull/176,closed
https://github.com/searxng/searxng-docker/pull/67,closed
https://github.com/confluentinc/cp-all-in-one/pull/107,closed
https://github.com/dotnet-labs/JwtAuthDemo/pull/6,closed
https://github.com/searxng/searxng-docker/pull/68,closed
https://github.com/bezkoder/docker-compose-nodejs-mysql/pull/1,closed
https://github.com/tetafro/clickhouse-cluster/pull/5,closed
https://github.com/flavienbwk/prefect-docker-compose/pull/32,closed
https://github.com/apocas/dockerode-compose/pull/26,closed
https://github.com/bezkoder/docker-compose-spring-boot-mysql/pull/2,closed
https://github.com/minhng92/odoo-15-docker-compose/pull/3,closed
https://github.com/bbachi/react-nodejs-docker-compose/pull/18,closed
https://github.com/UpSync-Dev/docker-compose-mongo-replica-set/pull/7,closed
https://github.com/mikesir87/dockercon-2020-compose-talk/pull/53,closed
https://github.com/thanos-community/thanos-docker-compose/pull/13,closed
https://github.com/shazforiot/Elasticsearch-logstash-Kibana-Docker-Compose/pull/4,closed
https://github.com/fengxuangit/log4j_vuln/pull/6,closed
https://github.com/bbachi/angular-nodejs-docker-compose/pull/40,closed
https://github.com/pfelk/docker/pull/45,closed
https://github.com/hashicorp/learn-consul-docker/pull/8,closed
https://github.com/vousmeevoyez/kong-konga-example/pull/4,closed
https://github.com/frigi83/traefik-examples/pull/27,closed
https://github.com/Einsteinish/node-mongodb-docker-compose/pull/13,closed
https://github.com/ssbostan/jenkins-stack-docker/pull/2,closed
https://github.com/benbalter/pi-hole-cloudflared-docker-compose-ansible-caddy/pull/8,closed
https://github.com/wshihadeh/docker-deployment-action/pull/30,closed
https://github.com/connext/nxtp-router-docker-compose/pull/18,merged
https://github.com/MoshiCoCo/docker-compose-hub/pull/10,closed
https://github.com/gaelgthomas/docker-compose-with-postgresql/pull/2,closed
https://github.com/bezkoder/docker-compose-nodejs-mongodb/pull/1,closed
https://github.com/flavienbwk/opensearch-docker-compose/pull/7,closed
https://github.com/stereum-dev/ethereum2-docker-compose/pull/306,closed
https://github.com/yoanbernabeu/symfony6-php8-in-docker-compose/pull/7,closed
https://github.com/spancer/bigdata-docker-compose/pull/10,closed
https://github.com/jfederico/scalelite-run/pull/16,closed
https://github.com/wger-project/docker/pull/31,closed
https://github.com/gitpod-io/template-docker-compose/pull/6,closed
